time,voltage
0.000000000000000000e+00,-6.030873298645019531e+00
1.000000000000000021e-03,-7.750899314880371094e+00
2.000000000000000042e-03,-8.926855087280273438e+00
3.000000000000000062e-03,-9.721241950988769531e+00
4.000000000000000083e-03,-1.013968563079833984e+01
5.000000000000000104e-03,-1.012781047821044922e+01
6.000000000000000125e-03,-1.006999778747558594e+01
7.000000000000000146e-03,-1.010687255859375000e+01
8.000000000000000167e-03,-1.013062286376953125e+01
8.999999999999999320e-03,-1.014999866485595703e+01
1.000000000000000021e-02,-1.015343570709228516e+01
1.099999999999999936e-02,-1.014562320709228516e+01
1.200000000000000025e-02,-1.011093521118164062e+01
1.299999999999999940e-02,-1.007374763488769531e+01
1.400000000000000029e-02,-1.006781005859375000e+01
1.499999999999999944e-02,-1.015062332153320312e+01
1.600000000000000033e-02,-1.014999866485595703e+01
1.700000000000000122e-02,-1.013312339782714844e+01
1.799999999999999864e-02,-1.009624767303466797e+01
1.899999999999999953e-02,-1.008062267303466797e+01
2.000000000000000042e-02,-9.884681701660156250e+00
2.100000000000000130e-02,-9.663741111755371094e+00
2.199999999999999872e-02,-9.457175254821777344e+00
2.299999999999999961e-02,-9.175608634948730469e+00
2.400000000000000050e-02,-8.907479286193847656e+00
2.500000000000000139e-02,-8.704977035522460938e+00
2.599999999999999881e-02,-8.514660835266113281e+00
2.699999999999999969e-02,-8.317157745361328125e+00
2.800000000000000058e-02,-8.136218070983886719e+00
2.900000000000000147e-02,-7.953715324401855469e+00
2.999999999999999889e-02,-7.786837577819824219e+00
3.099999999999999978e-02,-7.618710041046142578e+00
3.200000000000000067e-02,-7.465895175933837891e+00
3.300000000000000155e-02,-7.275892257690429688e+00
3.400000000000000244e-02,-7.076201915740966797e+00
3.500000000000000333e-02,-6.969950199127197266e+00
3.599999999999999728e-02,-6.886511325836181641e+00
3.699999999999999817e-02,-6.764321804046630859e+00
3.799999999999999906e-02,-6.668070316314697266e+00
3.899999999999999994e-02,-6.575256347656250000e+00
4.000000000000000083e-02,-6.493067741394042969e+00
4.100000000000000172e-02,-6.390566349029541016e+00
4.200000000000000261e-02,-6.306502342224121094e+00
4.299999999999999656e-02,-6.145874977111816406e+00
4.399999999999999745e-02,-5.998997688293457031e+00
4.499999999999999833e-02,-5.921809196472167969e+00
4.599999999999999922e-02,-5.845245361328125000e+00
4.700000000000000011e-02,-5.765244007110595703e+00
4.800000000000000100e-02,-5.698680877685546875e+00
4.900000000000000189e-02,-5.617116928100585938e+00
5.000000000000000278e-02,-5.554303646087646484e+00
5.099999999999999672e-02,-5.483677387237548828e+00
5.199999999999999761e-02,-5.423364162445068359e+00
5.299999999999999850e-02,-5.320237636566162109e+00
5.399999999999999939e-02,-5.202735424041748047e+00
5.500000000000000028e-02,-5.176797866821289062e+00
5.600000000000000117e-02,-5.168047428131103516e+00
5.700000000000000205e-02,-5.117109298706054688e+00
5.800000000000000294e-02,-5.088358879089355469e+00
5.899999999999999689e-02,-5.057108402252197266e+00
5.999999999999999778e-02,-5.036170482635498047e+00
6.099999999999999867e-02,-4.986169815063476562e+00
6.199999999999999956e-02,-4.953044414520263672e+00
6.300000000000000044e-02,-4.845542907714843750e+00
6.400000000000000133e-02,-4.746478557586669922e+00
6.500000000000000222e-02,-4.714915752410888672e+00
6.600000000000000311e-02,-4.684602737426757812e+00
6.700000000000000400e-02,-4.644602298736572266e+00
6.800000000000000488e-02,-4.614601612091064453e+00
6.900000000000000577e-02,-4.569288253784179688e+00
7.000000000000000666e-02,-4.541475772857666016e+00
7.099999999999999367e-02,-4.503037452697753906e+00
7.199999999999999456e-02,-4.474599361419677734e+00
7.299999999999999545e-02,-4.400223255157470703e+00
7.399999999999999634e-02,-4.311471939086914062e+00
7.499999999999999722e-02,-4.310846805572509766e+00
7.599999999999999811e-02,-4.330222129821777344e+00
7.699999999999999900e-02,-4.302721977233886719e+00
7.799999999999999989e-02,-4.298034191131591797e+00
7.900000000000000078e-02,-4.290534019470214844e+00
8.000000000000000167e-02,-4.284909248352050781e+00
8.100000000000000255e-02,-4.256158828735351562e+00
8.200000000000000344e-02,-4.240846157073974609e+00
8.300000000000000433e-02,-4.150844573974609375e+00
8.400000000000000522e-02,-4.069593429565429688e+00
8.500000000000000611e-02,-4.057093143463134766e+00
8.599999999999999312e-02,-4.043343067169189453e+00
8.699999999999999400e-02,-4.015842437744140625e+00
8.799999999999999489e-02,-3.999904870986938477e+00
8.899999999999999578e-02,-3.972404479980468750e+00
8.999999999999999667e-02,-3.955216646194458008e+00
9.099999999999999756e-02,-3.933966159820556641e+00
9.199999999999999845e-02,-3.913028478622436523e+00
9.299999999999999933e-02,-3.854277610778808594e+00
9.400000000000000022e-02,-3.778338909149169922e+00
9.500000000000000111e-02,-3.786776542663574219e+00
9.600000000000000200e-02,-3.816152095794677734e+00
9.700000000000000289e-02,-3.801464319229125977e+00
9.800000000000000377e-02,-3.802714347839355469e+00
9.900000000000000466e-02,-3.806151866912841797e+00
1.000000000000000056e-01,-3.812402009963989258e+00
1.010000000000000064e-01,-3.793339014053344727e+00
1.019999999999999934e-01,-3.785526514053344727e+00
1.029999999999999943e-01,-3.703337669372558594e+00
1.039999999999999952e-01,-3.633336782455444336e+00
1.049999999999999961e-01,-3.625524044036865234e+00
1.059999999999999970e-01,-3.617711544036865234e+00
1.069999999999999979e-01,-3.600523710250854492e+00
1.079999999999999988e-01,-3.590210914611816406e+00
1.089999999999999997e-01,-3.573335886001586914e+00
1.100000000000000006e-01,-3.562398195266723633e+00
1.110000000000000014e-01,-3.543335199356079102e+00
1.120000000000000023e-01,-3.532085180282592773e+00
1.130000000000000032e-01,-3.479896783828735352e+00
1.140000000000000041e-01,-3.408645868301391602e+00
1.150000000000000050e-01,-3.423333406448364258e+00
1.160000000000000059e-01,-3.463646650314331055e+00
1.170000000000000068e-01,-3.452083826065063477e+00
1.179999999999999938e-01,-3.458959102630615234e+00
1.189999999999999947e-01,-3.463646650314331055e+00
1.199999999999999956e-01,-3.477084398269653320e+00
1.209999999999999964e-01,-3.460209131240844727e+00
1.219999999999999973e-01,-3.460209131240844727e+00
1.229999999999999982e-01,-3.383645296096801758e+00
1.239999999999999991e-01,-3.310519218444824219e+00
1.250000000000000000e-01,-3.310519218444824219e+00
1.260000000000000009e-01,-3.308956623077392578e+00
1.270000000000000018e-01,-3.295206546783447266e+00
1.280000000000000027e-01,-3.291456460952758789e+00
1.290000000000000036e-01,-3.274581193923950195e+00
1.300000000000000044e-01,-3.269268751144409180e+00
1.310000000000000053e-01,-3.258331060409545898e+00
1.320000000000000062e-01,-3.247705698013305664e+00
1.330000000000000071e-01,-3.197392463684082031e+00
1.340000000000000080e-01,-3.132704019546508789e+00
1.350000000000000089e-01,-3.150516748428344727e+00
1.360000000000000098e-01,-3.193330049514770508e+00
1.370000000000000107e-01,-3.187392473220825195e+00
1.380000000000000115e-01,-3.194892406463623047e+00
1.390000000000000124e-01,-3.200517654418945312e+00
1.400000000000000133e-01,-3.225205421447753906e+00
1.409999999999999865e-01,-3.209580183029174805e+00
1.419999999999999873e-01,-3.208642721176147461e+00
1.429999999999999882e-01,-3.134266614913940430e+00
1.439999999999999891e-01,-3.069890499114990234e+00
1.449999999999999900e-01,-3.071140527725219727e+00
1.459999999999999909e-01,-3.072390556335449219e+00
1.469999999999999918e-01,-3.060202836990356445e+00
1.479999999999999927e-01,-3.058327913284301758e+00
1.489999999999999936e-01,-3.048327684402465820e+00
1.499999999999999944e-01,-3.047077655792236328e+00
1.509999999999999953e-01,-3.035202503204345703e+00
1.519999999999999962e-01,-3.028327465057373047e+00
1.529999999999999971e-01,-2.979264259338378906e+00
1.539999999999999980e-01,-2.916450738906860352e+00
1.549999999999999989e-01,-2.935200929641723633e+00
1.559999999999999998e-01,-2.977701663970947266e+00
1.570000000000000007e-01,-2.975514173507690430e+00
